省,市,累计,1-10,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,3-1,3-2,
贵州,黔东南州,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
贵州,黔南州,17,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山东,,758,0,0,0,0,0,0,1,5,3,12,18,24,24,34,24,33,24,23,21,24,28,45,36,28,28,24,27,11,9,13,11,7,4,2,1,2,202,2,4,1,0,1,0,0,0,0,2,0,0,
山东,济南市,47,0,0,0,0,0,0,0,0,0,2,1,4,3,1,3,2,2,1,3,3,4,4,6,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山东,青岛市,60,0,0,0,0,0,0,1,2,0,1,2,4,3,2,3,3,0,1,3,4,5,7,2,3,1,5,1,0,0,0,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
山东,淄博市,30,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,2,2,0,0,2,0,1,0,1,0,3,1,3,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
山东,枣庄市,24,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,2,3,1,1,1,0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山东,东营市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山东,烟台市,47,0,0,0,0,0,0,0,0,0,2,0,2,4,2,3,5,2,0,2,4,0,3,2,3,2,3,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山东,潍坊市,44,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1,1,1,3,0,3,5,6,2,5,3,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山东,济宁市,260,0,0,0,0,0,0,0,0,0,2,2,1,0,0,3,0,2,4,4,3,2,9,3,3,1,0,2,1,1,3,3,2,1,0,0,0,201,0,4,0,0,1,0,0,0,0,2,0,0,
山东,泰安市,35,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,4,2,1,2,4,2,0,3,3,6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
山东,威海市,38,0,0,0,0,0,0,0,1,1,1,1,3,3,1,3,5,5,0,1,0,2,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山东,日照市,16,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山东,莱芜市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山东,临沂市,49,0,0,0,0,0,0,0,2,0,1,4,0,1,7,1,4,3,1,0,3,3,2,3,3,2,2,2,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
山东,德州市,37,0,0,0,0,0,0,0,0,0,1,2,3,2,3,0,5,1,2,0,0,0,7,1,1,2,2,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山东,聊城市,38,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,0,2,0,1,2,3,5,7,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山东,滨州市,15,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山东,菏泽市,18,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,0,1,0,1,1,2,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
