省,市,累计,1-10,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,3-1,3-2,
广东,深圳市,418,0,0,0,0,1,8,5,1,0,5,6,10,13,14,23,24,60,26,30,43,20,25,20,17,13,4,7,11,5,9,6,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
广东,珠海市,98,0,0,0,0,0,3,1,0,4,2,0,2,0,2,4,8,12,3,10,13,5,4,0,9,1,2,1,1,2,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,汕头市,25,0,0,0,0,0,0,0,0,0,1,1,0,3,1,6,0,2,0,3,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,佛山市,84,0,0,0,0,0,0,1,0,5,3,2,3,4,0,7,7,6,1,4,3,3,1,7,3,5,3,2,8,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,江门市,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,1,2,2,3,3,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,湛江市,22,0,0,0,0,0,1,1,0,0,0,2,1,0,2,2,2,2,1,0,1,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,茂名市,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,肇庆市,19,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,0,1,0,3,1,2,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
广东,惠州市,62,0,0,0,0,0,1,0,0,4,2,1,0,3,1,5,0,3,3,5,1,2,4,4,2,6,3,3,1,1,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,梅州市,16,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,2,1,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,汕尾市,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,河源市,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,阳江市,14,0,0,0,0,0,0,0,0,3,2,1,2,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
广东,清远市,12,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,东莞市,99,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,9,5,6,4,6,7,3,6,3,2,2,2,5,3,3,8,8,0,2,0,1,1,0,1,2,1,0,0,1,1,0,0,0,
广东,中山市,66,0,0,0,0,0,0,0,1,1,0,0,2,2,6,4,2,0,3,4,6,4,9,2,0,5,5,2,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,潮州市,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,揭阳市,8,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广东,云浮市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广西,,252,0,0,0,0,0,0,0,2,11,10,10,13,5,7,20,9,13,11,16,12,11,18,4,11,12,15,5,7,0,4,9,2,1,4,2,1,1,3,0,2,1,0,0,0,0,0,0,0,
广西,南宁市,55,0,0,0,0,0,0,0,0,0,0,1,4,0,2,8,1,0,0,6,5,1,2,1,1,3,2,4,3,0,3,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
广西,柳州市,24,0,0,0,0,0,0,0,0,2,1,1,2,0,0,4,1,1,0,2,1,2,3,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广西,桂林市,32,0,0,0,0,0,0,0,0,2,4,5,3,1,1,2,0,3,2,1,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
广西,梧州市,5,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广西,北海市,44,0,0,0,0,0,0,0,1,5,0,1,2,2,2,2,2,6,0,3,1,2,2,0,1,1,2,1,3,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广西,防城港市,19,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,2,1,0,1,2,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
广西,钦州市,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广西,贵港市,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广西,玉林市,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
广西,百色市,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广西,贺州市,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广西,河池市,28,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,2,1,2,0,4,4,2,0,0,0,0,1,0,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0,0,
广西,来宾市,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
广西,崇左市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,,631,0,0,0,0,0,0,0,1,8,9,13,16,23,29,30,39,34,34,35,37,33,32,35,31,29,24,23,28,27,23,11,13,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,南京市,93,0,0,0,0,0,0,0,0,3,1,3,0,3,4,5,6,3,7,5,4,3,5,5,8,6,7,6,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,无锡市,55,0,0,0,0,0,0,0,0,1,0,1,2,2,3,1,2,1,6,4,2,1,2,3,3,4,3,4,3,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,徐州市,79,0,0,0,0,0,0,0,0,0,0,0,3,5,0,7,5,3,7,6,3,6,0,4,3,4,4,3,3,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,常州市,51,0,0,0,0,0,0,0,0,0,5,0,1,2,0,2,3,1,1,0,4,5,3,2,2,0,0,0,5,2,5,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,苏州市,87,0,0,0,0,0,0,0,1,1,1,4,1,4,8,4,8,2,4,6,8,3,5,9,3,3,2,3,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,南通市,40,0,0,0,0,0,0,0,0,1,0,1,2,2,0,3,1,2,5,2,3,3,2,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,连云港市,48,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3,4,0,1,3,3,2,2,3,5,3,2,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,淮安市,66,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,3,2,1,5,4,4,8,3,3,4,2,0,1,4,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,盐城市,27,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,5,2,0,0,0,1,0,1,0,1,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,扬州市,23,0,0,0,0,0,0,0,0,1,0,0,3,1,3,0,0,5,0,1,1,0,0,2,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,镇江市,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,泰州市,37,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,3,5,0,4,2,3,2,1,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
江苏,宿迁市,13,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
陕西,,245,0,0,0,0,0,0,0,0,3,2,10,7,13,11,10,30,15,15,12,14,23,8,11,11,13,5,6,6,4,1,2,4,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,
陕西,西安市,120,0,0,0,0,0,0,0,0,2,0,2,4,4,3,3,13,8,8,8,5,10,4,6,8,8,2,6,6,4,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,
陕西,铜川市,8,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
陕西,宝鸡市,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
陕西,咸阳市,17,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,2,1,0,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
陕西,渭南市,15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,3,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
陕西,延安市,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
陕西,汉中市,26,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,5,2,2,0,1,3,1,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
陕西,榆林市,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
陕西,安康市,26,0,0,0,0,0,0,0,0,0,1,2,0,4,1,2,3,1,2,1,0,2,2,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
陕西,商洛市,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
陕西,韩城市,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
陕西,杨凌示范区,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山西,,133,0,0,0,0,0,0,0,1,0,5,3,4,7,7,8,4,8,9,10,8,7,9,6,7,12,4,3,2,2,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
山西,太原市,20,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,3,0,2,1,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
山西,大同市,12,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山西,阳泉市,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山西,长治市,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山西,晋城市,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
山西,朔州市,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山西,晋中市,37,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,0,2,2,2,4,2,5,1,2,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
山西,运城市,19,0,0,0,0,0,0,0,0,0,2,0,0,1,1,3,1,2,0,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山西,忻州市,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山西,临汾市,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山西,吕梁市,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,,576,0,0,0,0,0,0,5,4,18,30,18,35,22,15,18,41,32,24,38,37,29,23,22,15,20,22,18,19,13,11,8,7,7,2,2,5,7,5,1,2,1,0,0,0,0,0,0,0,
重庆,万州区,118,0,0,0,0,0,0,2,0,1,7,3,1,1,2,7,4,5,6,10,7,9,3,5,5,6,13,1,3,2,0,1,1,3,0,2,3,2,3,0,0,0,0,0,0,0,0,0,0,
重庆,涪陵区,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
重庆,渝中区,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,0,4,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,大渡口区,7,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,江北区,28,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,4,1,3,0,0,2,1,1,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,沙坪坝区,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
重庆,九龙坡区,21,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,3,1,2,2,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
重庆,南岸区,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,1,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,北碚区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,綦江区,23,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,5,2,1,1,1,0,0,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,大足区,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,2,0,0,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,渝北区,17,0,0,0,0,0,0,0,0,2,0,2,1,1,0,1,3,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
重庆,巴南区,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,黔江区,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,长寿区,22,0,0,0,0,0,0,1,0,2,2,0,1,1,0,0,1,2,0,1,1,0,0,0,0,3,0,1,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
重庆,江津区,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,合川区,23,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,2,0,1,0,0,2,4,1,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,永川区,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,南川区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,璧山区,9,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,铜梁区,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
重庆,潼南区,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,3,3,3,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,荣昌区,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,开州区,21,0,0,0,0,0,0,0,0,2,2,0,3,2,2,2,3,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
重庆,梁平区,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,武隆区,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,城口县,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,丰都县,10,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,垫江县,20,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,3,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,忠县,21,0,0,0,0,0,0,0,0,1,2,2,1,3,2,0,1,0,0,3,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
重庆,云阳县,25,0,0,0,0,0,0,0,0,1,1,2,4,2,1,1,3,2,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,奉节县,22,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,3,1,0,0,2,1,1,1,0,0,3,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,巫山县,10,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,巫溪县,14,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,4,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
重庆,石柱县,15,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
重庆,秀山县,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,酉阳县,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,彭水县,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,两江新区,17,0,0,0,0,0,0,0,0,1,2,0,4,1,0,0,1,1,2,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,高新区,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
重庆,万盛经开区,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
四川,,538,0,0,0,0,0,0,2,3,10,13,16,25,21,18,34,35,30,24,23,28,19,20,23,19,23,19,12,19,15,12,7,11,14,13,6,6,5,1,0,1,2,2,3,4,0,0,0,0,
四川,成都市,143,0,0,0,0,0,0,1,1,5,9,6,11,4,9,13,10,3,1,4,10,5,5,5,7,11,3,1,1,6,4,4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,
四川,自贡市,9,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
四川,攀枝花市,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
四川,泸州市,24,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,2,1,2,1,0,3,1,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,
四川,德阳市,18,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,0,3,0,2,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
四川,绵阳市,22,0,0,0,0,0,0,0,2,0,0,3,2,1,0,1,2,1,2,3,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
四川,广元市,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
四川,遂宁市,17,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
四川,内江市,22,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,4,1,1,3,0,1,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
四川,乐山市,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
四川,南充市,39,0,0,0,0,0,0,0,0,0,0,2,0,2,1,4,2,5,7,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
四川,眉山市,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
